Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Real Madrid,5,1,3,1,4,2,2,1,1,2,2,2,1,2,3,2,2,1,3
La Coruna,1,2,2,3,3,8,8,13,9,7,10,18,,19,,16,15,16,18
Mallorca,10,3,16,9,11,17,13,12,7,9,5,17,8,18,,,,,
Barcelona,2,4,4,6,2,1,1,2,3,1,1,1,2,1,2,1,1,2,1
Valencia,3,5,1,5,1,7,3,4,10,6,3,3,3,5,8,4,12,12,4
Celta,7,6,5,4,19,,6,18,,,,,,17,9,8,6,13,13
Villarreal,,7,15,15,8,3,7,5,2,5,7,4,18,,6,6,4,5,5
Malaga,12,8,10,13,10,10,20,,,8,17,11,4,6,11,9,8,11,20
Espanol,14,9,14,17,17,5,15,11,12,10,11,8,14,13,14,10,13,8,11
Alaves,6,10,7,19,,,18,,,,,,,,,,,9,14
Las Palmas,,11,18,,,,,,,,,,,,,,11,14,19
Ath Bilbao,11,12,9,7,5,9,12,17,11,13,8,6,10,12,4,7,5,7,16
Sociedad,13,13,13,2,15,14,16,19,,,,15,12,4,7,12,9,6,12
Vallecano,9,14,11,20,,,,,,,,,15,8,12,11,18,,
Osasuna,,15,17,11,13,15,4,14,17,15,12,9,7,16,18,,,19,
Valladolid,8,16,12,14,18,,,,15,16,18,,,14,19,,,,
Zaragoza,4,17,20,,12,12,11,6,18,,14,13,16,20,,,,,
Oviedo,16,18,,,,,,,,,,,,,,,,,
Santander,15,19,,16,16,16,17,10,6,12,16,12,20,,,,,,
Numancia,17,20,,,,19,,,,19,,,,,,,,,
Betis,18,,6,8,9,4,14,16,13,18,,,13,7,20,,10,15,6
Sevilla,20,,8,10,6,6,5,3,5,3,4,5,9,9,5,5,7,4,7
Tenerife,,,19,,,,,,,,19,,,,,,,,
Ath Madrid,19,,,12,7,11,10,7,4,4,9,7,5,3,1,3,3,3,2
Recreativo,,,,18,,,,8,16,20,,,,,,,,,
Albacete,,,,,14,20,,,,,,,,,,,,,
Murcia,,,,,20,,,,19,,,,,,,,,,
Getafe,,,,,,13,9,9,14,17,6,16,11,10,13,15,19,,8
Levante,,,,,,18,,15,20,,,14,6,11,10,14,20,,15
Cadiz,,,,,,,19,,,,,,,,,,,,
Gimnastic,,,,,,,,20,,,,,,,,,,,
Almeria,,,,,,,,,8,11,13,20,,,17,19,,,
Sp Gijon,,,,,,,,,,14,15,10,19,,,,17,18,
Xerez,,,,,,,,,,,20,,,,,,,,
Hercules,,,,,,,,,,,,19,,,,,,,
Granada,,,,,,,,,,,,,17,15,15,17,16,20,
Elche,,,,,,,,,,,,,,,16,13,,,
Eibar,,,,,,,,,,,,,,,,18,14,10,9
Cordoba,,,,,,,,,,,,,,,,20,,,
Leganes,,,,,,,,,,,,,,,,,,17,17
Girona,,,,,,,,,,,,,,,,,,,10
